#1
#Denver
# 39.883         -104.65          1650            1
#
# hy	G_Bh	G_Dh	Ta	FF	DD	RH	N	p
double tab1(8760,9)
1607	0	0	-1.70	1.5	120	40	0	842
1608	0	0	-4.40	1.5	170	58	0	842
1609	0	0	-2.80	2.6	210	42	0	842
1610	0	0	-3.30	2.6	180	42	0	842
1611	0	0	-3.90	4.1	190	46	0	842
1612	0	0	-4.40	3.1	180	46	0	842
1613	0	0	-3.90	3.6	200	37	0	842
1614	0	0	-3.30	5.7	180	34	0	842
1615	11	9	-3.30	5.2	180	34	0	842
1616	147	34	-0.60	4.6	210	24	0	842
1617	338	51	3.90	6.2	190	14	0	842
1618	510	64	7.20	5.7	180	11	0	841
1619	637	73	10.60	5.2	180	8	0	841
1620	708	78	13.30	6.2	170	6	0	840
1621	717	79	15.00	5.2	190	7	0	838
1622	665	75	14.40	6.7	170	7	0	837
1623	530	71	15.00	6.7	160	7	1	837
1624	379	67	14.40	8.8	170	9	3	836
1625	198	44	12.80	8.8	170	10	2	836
1626	19	28	10.60	7.7	160	12	6	835
1627	0	0	9.40	8.2	170	14	2	835
1628	0	0	8.30	6.2	170	15	3	835
1629	0	0	6.70	6.2	180	18	2	835
1630	0	0	6.10	4.6	150	19	6	835
1631	0	0	6.70	3.6	150	15	6	834
1632	0	0	7.20	4.1	130	14	5	833
1633	0	0	7.80	6.2	190	13	3	832
1634	0	0	8.30	4.1	180	14	4	832
1635	0	0	8.90	5.2	190	13	3	831
1636	0	0	8.30	4.1	170	14	5	831
1637	0	0	7.80	3.1	180	17	8	831
1638	0	0	8.30	3.6	180	17	9	831
1639	3	12	8.90	4.6	190	17	8	831
1640	32	104	10.60	4.6	180	17	7	831
1641	229	113	13.30	4.1	200	16	8	831
1642	359	138	16.10	4.1	190	13	7	830
1643	458	203	17.20	4.6	180	13	8	830
1644	656	105	18.30	5.2	260	13	4	829
1645	586	128	18.90	7.7	260	13	4	828
1646	458	181	19.40	6.7	280	13	7	828
1647	355	177	19.40	4.6	240	14	8	828
1648	279	124	18.30	4.6	280	14	7	828
1649	113	82	17.80	5.7	260	16	8	828
1650	7	34	15.00	5.7	270	21	9	828
1651	0	0	12.80	3.1	270	25	8	829
1652	0	0	11.10	5.2	230	29	7	829
1653	0	0	10.60	2.1	220	29	5	829
1654	0	0	10.60	4.1	190	27	5	828
1655	0	0	10.60	7.2	190	29	3	828
1656	0	0	9.40	6.7	200	32	1	827
1657	0	0	8.30	4.6	190	39	1	827
1658	0	0	8.90	5.2	180	37	0	826
1659	0	0	8.30	4.1	180	39	0	825
1660	0	0	6.70	3.6	180	43	0	825
1661	0	0	8.30	5.2	190	39	2	825
1662	0	0	6.10	4.6	190	45	8	824
1663	6	12	5.60	2.6	120	49	6	824
1664	142	31	11.70	4.6	180	32	3	824
1665	359	41	13.30	6.2	190	29	0	824
1666	469	59	15.60	3.6	160	23	3	823
1667	593	65	16.70	3.6	190	22	2	822
1668	495	190	16.70	2.1	280	21	5	821
1669	243	295	16.70	4.1	190	19	9	820
1670	516	179	18.30	2.1	250	17	5	818
1671	182	114	18.30	8.8	210	11	7	818
1672	60	269	15.60	6.2	230	15	9	818
1673	36	95	14.40	6.2	190	16	9	817
1674	0	28	12.80	7.2	210	21	10	817
1675	0	0	7.80	12.9	300	48	10	819
1676	0	0	3.90	7.7	340	76	10	821
1677	0	0	2.80	6.2	350	82	10	822
1678	0	0	3.90	3.1	280	69	10	822
1679	0	0	4.40	2.6	300	67	10	822
1680	0	0	3.30	8.2	10	79	10	824
1681	0	0	1.70	6.7	10	77	10	825
1682	0	0	2.80	8.8	10	57	10	825
1683	0	0	0.60	6.2	360	60	4	826
1684	0	0	0.00	4.1	360	62	2	827
1685	0	0	-0.60	1.5	310	63	1	829
1686	0	0	-1.10	3.6	20	62	2	829
1687	6	14	-1.10	4.1	360	62	1	830
1688	110	59	2.20	5.2	350	46	1	831
1689	300	80	5.60	5.2	350	33	0	831
1690	464	101	7.20	4.6	310	26	0	831
1691	587	115	8.30	4.6	310	19	0	831
1692	657	122	9.40	6.7	10	16	0	831
1693	666	123	9.40	5.2	360	15	0	831
1694	593	129	9.40	6.2	350	14	2	830
1695	424	149	9.40	6.7	20	14	8	830
1696	229	132	8.30	4.6	50	16	7	831
1697	55	115	7.20	6.2	60	17	10	831
1698	6	35	3.90	5.2	90	31	10	832
1699	0	0	2.20	4.1	80	42	8	833
1700	0	0	1.70	4.1	110	44	7	834
1701	0	0	1.10	3.1	130	46	8	834
1702	0	0	0.00	2.1	160	47	6	834
1703	0	0	0.00	2.6	190	47	5	834
1704	0	0	-0.60	3.1	190	52	5	833
1705	0	0	-1.70	2.1	200	57	2	833
1706	0	0	-2.20	2.6	190	62	3	832
1707	0	0	-2.80	2.1	200	62	2	832
1708	0	0	-3.30	2.1	130	65	3	832
1709	0	0	-3.30	2.1	200	62	2	833
1710	0	0	-3.30	2.1	180	62	0	833
1711	14	13	-2.20	2.6	200	54	0	834
1712	155	41	3.90	0	0	31	0	834
1713	345	59	5.60	2.1	300	23	0	834
1714	513	75	7.20	3.6	360	18	0	834
1715	638	85	8.90	3.6	330	15	0	834
1716	682	94	9.40	4.6	90	16	1	833
1717	683	89	9.40	4.6	60	16	1	833
1718	601	102	9.40	3.1	60	16	1	832
1719	405	115	9.40	3.6	60	17	2	831
1720	286	130	9.40	3.1	100	17	3	831
1721	181	52	8.90	4.1	100	22	2	831
1722	19	35	6.70	5.7	90	28	5	831
1723	0	0	4.40	4.1	90	34	2	832
1724	0	0	2.80	4.1	110	38	8	832
1725	0	0	1.70	6.2	150	44	7	832
1726	0	0	1.70	3.1	130	46	8	832
1727	0	0	1.10	2.1	120	48	9	832
1728	0	0	1.10	3.6	180	50	9	831
1729	0	0	1.10	0	0	46	10	831
1730	0	0	1.70	1.5	170	38	10	831
1731	0	0	0.00	3.6	350	52	10	830
1732	0	0	-2.20	3.6	360	62	10	830
1733	0	0	-2.80	1.5	20	65	9	829
1734	0	0	-3.90	0	0	75	9	829
1735	0	14	-3.30	2.1	10	75	10	829
1736	11	56	-2.20	2.6	360	72	10	829
1737	0	144	-1.10	4.1	340	62	10	829
1738	60	315	1.70	2.6	330	50	10	828
1739	115	236	3.90	1.5	250	39	10	827
1740	165	386	6.70	6.7	180	26	9	826
1741	103	443	6.10	8.8	150	26	10	825
1742	320	292	7.20	9.8	160	27	10	825
1743	115	294	7.80	8.2	150	27	9	824
1744	80	195	7.20	7.7	170	28	10	824
1745	21	145	3.90	8.8	160	37	10	824
1746	4	48	2.20	9.3	160	46	10	825
1747	0	0	1.70	4.1	130	50	10	825
1748	0	0	1.10	6.2	160	64	10	826
1749	0	0	0.60	4.1	150	66	3	827
1750	0	0	0.00	4.1	210	69	7	827
1751	0	0	0.00	4.6	190	69	8	827
1752	0	0	-0.60	4.1	260	73	7	827
1753	0	0	0.00	3.6	250	69	10	827
1754	0	0	-0.60	3.1	310	76	10	827
1755	0	0	-1.10	3.1	340	76	10	827
1756	0	0	-1.70	2.6	360	80	10	827
1757	0	0	-2.20	2.6	360	87	10	827
1758	0	0	-2.20	2.6	350	87	10	827
1759	0	13	-1.70	2.1	80	83	10	828
1760	0	69	-0.60	1.5	40	76	10	828
1761	0	128	-0.60	2.6	350	80	10	828
1762	0	177	0.60	2.1	330	69	10	829
1763	0	213	2.80	3.6	10	57	10	828
1764	125	327	4.40	2.1	360	51	9	828
1765	21	267	4.40	2.6	80	48	9	828
1766	195	198	5.60	2.1	50	44	8	827
1767	195	277	5.60	4.1	340	44	10	827
1768	113	169	6.70	4.6	340	41	10	827
1769	52	90	5.00	3.6	330	44	10	828
1770	18	34	3.90	3.6	320	47	8	828
1771	0	0	1.70	2.6	10	61	9	829
1772	0	0	0.60	2.6	330	66	6	829
1773	0	0	0.60	2.6	350	69	9	830
1774	0	0	-1.10	2.1	350	76	3	830
1775	0	0	-1.70	0	0	80	0	830
1776	0	0	-2.20	2.6	330	83	0	830
1777	0	0	-2.80	2.1	360	79	10	830
1778	0	0	-2.80	1.5	30	87	10	830
1779	0	0	-2.80	2.6	360	87	10	829
1780	0	0	-2.20	2.1	360	87	10	829
1781	0	0	-2.20	2.1	10	87	10	829
1782	0	0	-2.20	1.5	80	87	7	829
1783	0	10	-2.20	2.1	40	87	10	829
1784	0	42	-2.20	1.5	60	87	10	829
1785	0	89	-1.70	3.6	120	83	10	830
1786	0	133	-1.10	0	0	79	10	830
1787	0	197	0.60	0	0	69	10	830
1788	0	218	1.10	1.5	100	67	10	829
1789	0	220	1.70	2.6	30	64	10	829
1790	0	204	2.80	3.6	10	59	10	828
1791	0	170	2.80	4.1	360	59	10	828
1792	0	121	2.80	3.1	20	59	10	829
1793	30	82	3.30	3.1	350	57	10	829
1794	2	51	2.20	3.1	20	62	10	830
1795	0	0	0.60	3.1	360	69	10	831
1796	0	0	-0.60	2.1	20	83	10	831
1797	0	0	-1.10	1.5	40	87	4	832
1798	0	0	-1.70	0	0	91	2	833
1799	0	0	-2.80	1.5	190	96	3	833
1800	0	0	-2.80	2.6	190	91	2	833
1801	0	0	-2.80	2.1	200	91	2	833
1802	0	0	-3.30	1.5	140	91	1	833
1803	0	0	-4.40	2.6	130	90	0	833
1804	0	0	-5.60	2.1	150	96	0	833
1805	0	0	-4.40	1.5	170	86	0	834
1806	0	0	-6.10	1.5	190	91	0	835
1807	27	14	-3.90	1.5	140	83	0	835
1808	192	33	1.70	2.1	170	58	1	835
1809	378	51	7.20	1.5	220	33	1	836
1810	556	60	9.40	4.1	290	21	0	836
1811	584	71	10.60	2.6	240	18	1	836
1812	733	77	11.70	3.6	280	14	1	835
1813	759	72	13.30	2.6	80	13	0	835
1814	705	69	13.30	3.1	340	12	0	834
1815	532	70	13.30	2.6	250	11	2	834
1816	255	127	13.30	3.1	20	10	8	834
1817	69	115	12.20	5.7	120	21	7	834
1818	50	24	10.00	5.7	120	26	3	834
1819	0	0	8.30	4.1	140	30	0	834
1820	0	0	7.20	5.7	150	38	0	834
1821	0	0	5.60	4.1	170	44	0	835
1822	0	0	3.30	2.6	180	49	0	835
1823	0	0	1.70	2.6	170	53	0	835
1824	0	0	1.10	2.1	170	50	0	834
1825	0	0	-1.10	2.1	240	57	1	834
1826	0	0	-1.10	2.6	180	57	1	834
1827	0	0	-2.20	2.6	140	62	1	834
1828	0	0	-1.10	3.6	250	49	2	834
1829	0	0	-1.70	2.6	170	52	3	834
1830	0	0	-1.70	3.1	140	49	0	834
1831	26	17	0.60	1.5	170	41	0	835
1832	193	38	6.70	0	0	29	0	835
1833	387	55	12.20	0	0	14	0	835
1834	521	71	13.30	2.6	240	13	1	835
1835	525	106	14.40	2.6	270	12	1	835
1836	751	81	16.10	2.6	270	11	0	834
1837	742	86	17.20	2.6	290	10	1	834
1838	621	115	17.20	3.1	360	11	2	834
1839	590	70	16.10	7.7	110	16	0	834
1840	422	61	15.00	8.8	100	18	1	834
1841	238	42	14.40	7.7	110	17	0	834
1842	54	24	12.80	5.7	100	19	0	835
1843	0	0	8.90	4.6	90	39	0	835
1844	0	0	6.70	4.6	120	47	0	836
1845	0	0	5.60	2.6	160	51	0	836
1846	0	0	5.60	3.6	150	53	0	836
1847	0	0	4.40	5.2	150	53	0	835
1848	0	0	4.40	4.6	160	46	0	835
1849	0	0	5.00	6.2	170	44	0	835
1850	0	0	5.60	9.3	170	38	0	834
1851	0	0	5.00	7.7	180	44	0	833
1852	0	0	4.40	5.7	170	53	1	832
1853	0	0	2.80	3.1	170	62	1	832
1854	0	0	1.70	1	280	61	1	832
1855	15	23	0.60	0	0	66	1	832
1856	157	58	3.30	1.5	330	57	1	831
1857	347	81	6.70	2.1	340	47	0	830
1858	503	104	10.00	7.2	180	38	1	829
1859	634	112	11.70	9.8	160	41	0	828
1860	693	124	13.30	11.8	160	26	1	825
1861	700	124	14.40	11.8	160	22	1	823
1862	649	113	15.00	13.4	160	21	1	821
1863	481	102	15.60	12.4	160	21	1	820
1864	270	150	14.40	11.3	160	28	5	819
1865	116	88	11.70	14.4	160	34	5	818
1866	25	35	11.70	13.4	160	35	3	817
1867	0	0	9.40	11.8	160	47	6	817
1868	0	0	8.90	8.8	160	51	10	817
1869	0	0	8.90	7.7	200	49	10	816
1870	0	0	8.90	2.6	220	45	10	816
1871	0	0	8.90	2.6	260	49	10	817
1872	0	0	7.80	5.7	320	44	10	817
1873	0	0	8.90	9.3	290	30	10	816
1874	0	0	9.40	6.7	290	22	10	816
1875	0	0	8.90	7.7	310	23	10	816
1876	0	0	8.90	8.2	310	23	9	817
1877	0	0	8.90	7.7	290	21	10	817
1878	0	0	8.30	6.2	300	22	9	818
1879	2	28	8.30	3.1	310	22	9	819
1880	68	81	8.90	3.6	290	22	7	819
1881	254	146	11.10	5.2	270	18	8	820
1882	379	194	11.10	8.2	290	16	6	820
1883	501	184	13.30	10.3	290	14	4	820
1884	317	161	13.30	8.8	260	13	5	820
1885	725	133	14.40	4.6	270	12	3	820
1886	628	115	14.40	6.7	250	12	2	820
1887	612	60	13.90	10.3	280	14	0	821
1888	450	50	13.90	7.2	300	12	0	821
1889	258	36	12.20	8.8	300	15	0	821
1890	66	21	11.10	6.7	300	16	0	822
1891	0	0	8.90	5.7	290	20	0	822
1892	0	0	7.80	5.7	300	21	0	823
1893	0	0	6.10	4.6	280	25	0	823
1894	0	0	5.60	1.5	180	23	0	824
1895	0	0	3.30	1.5	60	29	0	824
1896	0	0	2.80	2.6	190	30	0	823
1897	0	0	0.60	2.1	190	35	4	823
1898	0	0	-0.60	1.5	290	38	6	823
1899	0	0	-1.10	2.1	130	44	7	823
1900	0	0	-1.10	2.6	140	47	6	823
1901	0	0	0.00	1.5	190	40	7	823
1902	0	0	0.00	1.5	170	37	10	823
1903	17	31	0.00	1.5	130	39	7	823
1904	209	38	5.00	3.1	190	27	0	823
1905	389	61	7.80	0	0	19	2	823
1906	290	171	10.00	2.1	40	19	8	823
1907	549	134	11.70	6.2	130	20	7	822
1908	525	210	12.20	7.2	130	19	9	821
1909	473	288	13.90	6.2	130	17	10	820
1910	0	224	12.20	7.2	130	18	10	819
1911	0	192	11.70	5.2	90	21	10	819
1912	0	145	10.60	1.5	180	25	10	819
1913	1	89	10.00	6.2	80	31	10	819
1914	17	60	9.40	3.6	90	28	10	820
1915	0	0	8.90	3.1	60	29	9	820
1916	0	0	7.20	3.1	110	33	8	820
1917	0	0	6.10	2.6	90	37	10	820
1918	0	0	5.60	2.1	330	40	9	820
1919	0	0	3.90	2.6	320	45	7	820
1920	0	0	2.20	7.7	320	81	10	821
1921	0	0	2.80	6.7	310	82	9	822
1922	0	0	2.80	6.2	330	82	10	822
1923	0	0	2.80	5.7	360	82	10	822
1924	0	0	0.60	4.6	340	96	10	823
1925	0	0	0.60	3.6	310	96	10	823
1926	0	0	1.70	2.1	20	88	10	824
1927	2	27	2.20	3.1	290	85	9	824
1928	144	79	3.90	2.1	330	76	5	824
1929	57	147	5.60	3.1	320	61	8	824
1930	308	187	6.70	4.1	20	52	5	824
1931	377	295	9.40	4.1	330	36	10	824
1932	281	396	8.90	12.4	300	24	10	824
1933	319	267	10.00	12.9	310	21	9	825
1934	221	219	11.70	11.8	310	18	7	825
1935	133	333	10.60	11.8	300	18	9	826
1936	150	229	10.00	13.4	300	19	7	827
1937	59	112	9.40	7.7	290	18	8	828
1938	25	34	8.30	7.7	300	20	7	829
1939	0	0	7.20	3.6	260	26	5	830
1940	0	0	6.70	7.2	280	25	2	831
1941	0	0	6.70	5.2	270	25	3	831
1942	0	0	6.10	8.2	270	28	2	832
1943	0	0	5.60	6.2	270	29	1	832
1944	0	0	5.60	5.7	280	30	0	833
1945	0	0	5.60	6.7	270	27	1	834
1946	0	0	5.00	6.2	270	27	0	834
1947	0	0	4.40	5.2	270	31	0	834
1948	0	0	2.80	4.1	300	37	0	834
1949	0	0	1.70	2.6	130	40	0	835
1950	0	0	1.10	2.6	250	43	8	835
1951	10	34	1.70	4.1	210	46	7	836
1952	68	103	5.60	4.6	210	35	5	837
1953	211	169	8.90	4.1	160	22	7	837
1954	333	211	10.00	2.6	220	19	8	837
1955	597	166	11.70	2.6	230	16	5	836
1956	593	206	12.80	3.1	170	14	8	836
1957	580	189	14.40	2.6	240	13	7	836
1958	453	250	15.00	2.6	110	13	9	835
1959	200	348	14.40	2.1	150	12	9	835
1960	229	166	15.60	3.6	130	11	9	834
1961	138	116	14.40	4.1	110	12	6	834
1962	2	44	12.80	4.1	50	15	9	834
1963	0	0	11.70	3.1	50	20	9	834
1964	0	0	10.60	2.6	200	22	8	833
1965	0	0	8.30	3.6	210	30	5	834
1966	0	0	7.20	3.6	190	31	3	835
1967	0	0	5.00	3.1	300	36	1	834
1968	0	0	1.70	1.5	110	48	1	834
1969	0	0	2.20	2.1	210	46	0	834
1970	0	0	2.20	2.6	200	44	0	834
1971	0	0	0.60	1.5	170	49	0	834
1972	0	0	2.80	3.1	230	40	0	834
1973	0	0	1.70	3.1	180	44	0	834
1974	0	0	1.10	2.1	100	48	0	834
1975	47	20	2.20	2.6	160	46	0	834
1976	232	38	8.90	2.6	150	28	0	834
1977	429	53	12.80	5.2	180	19	0	834
1978	599	64	15.00	4.6	170	14	0	834
1979	722	72	17.80	3.6	110	10	0	833
1980	790	76	18.90	2.6	340	10	0	832
1981	794	77	20.00	4.6	50	10	0	831
1982	696	77	20.60	4.1	20	10	1	830
1983	548	85	20.60	1.5	360	10	3	830
1984	416	71	20.60	7.2	260	10	4	830
1985	75	151	18.90	5.2	260	10	8	830
1986	11	63	18.30	9.3	250	11	10	830
1987	0	1	16.10	4.1	220	10	10	830
1988	0	0	12.80	3.1	330	15	10	830
1989	0	0	11.70	0	0	17	10	831
1990	0	0	10.60	1.5	360	18	10	830
1991	0	0	9.40	2.1	190	17	10	830
1992	0	0	8.90	3.6	190	20	9	830
1993	0	0	7.20	4.6	200	24	6	830
1994	0	0	6.70	4.1	180	24	6	829
1995	0	0	6.10	2.6	230	26	2	828
1996	0	0	5.60	2.6	260	26	1	828
1997	0	0	6.10	3.1	240	26	4	828
1998	0	0	3.90	2.1	220	31	0	828
1999	45	22	4.40	2.6	150	36	1	828
2000	91	69	10.60	2.6	300	21	8	828
2001	297	156	11.70	0	0	17	7	827
2002	394	173	15.00	2.6	190	15	9	827
2003	567	161	18.30	5.2	210	12	10	825
2004	559	228	20.00	6.7	240	10	10	824
2005	361	237	21.10	6.2	180	8	10	823
2006	237	447	20.00	6.2	240	8	10	823
2007	249	168	21.10	7.7	210	7	10	822
2008	19	164	20.00	9.8	260	6	10	822
2009	75	109	18.90	7.7	270	6	9	823
2010	6	63	17.20	4.6	260	7	10	823
2011	0	1	15.60	4.1	220	9	5	824
2012	0	0	12.80	3.6	210	12	6	824
2013	0	0	12.20	3.6	180	13	4	825
2014	0	0	10.60	4.6	180	19	3	825
2015	0	0	10.60	3.1	180	18	2	825
2016	0	0	6.70	2.6	170	29	1	824
2017	0	0	8.30	3.1	230	26	0	824
2018	0	0	10.60	9.8	220	29	0	823
2019	0	0	10.00	9.3	220	30	0	823
2020	0	0	9.40	6.7	230	34	0	824
2021	0	0	8.90	6.2	210	33	0	823
2022	0	0	7.80	5.2	230	36	0	824
2023	41	28	8.30	3.1	240	37	0	824
2024	217	51	10.60	8.2	210	33	0	824
2025	303	135	12.80	6.7	220	29	3	823
2026	511	104	14.40	8.2	210	22	1	823
2027	664	94	15.00	7.7	240	19	1	822
2028	623	194	16.10	6.7	200	20	2	821
2029	178	271	16.70	7.2	210	18	6	820
2030	237	350	17.20	4.6	190	17	7	818
2031	283	201	17.20	5.7	210	14	8	818
2032	0	180	13.30	5.2	50	22	10	819
2033	0	85	12.80	5.2	30	21	10	818
2034	0	28	10.60	5.2	310	35	10	818
2035	0	0	9.40	2.6	190	43	10	817
2036	0	0	8.30	3.1	340	48	10	817
2037	0	0	8.30	5.7	340	48	10	817
2038	0	0	3.90	8.8	340	76	10	817
2039	0	0	0.60	10.3	320	96	10	818
2040	0	0	0.60	8.2	330	96	10	819
2041	0	0	0.60	7.2	350	91	10	819
2042	0	0	0.00	10.8	10	95	10	820
2043	0	0	0.00	7.2	30	83	10	822
2044	0	0	0.60	2.1	50	80	10	823
2045	0	0	0.00	0	0	79	10	825
2046	0	0	-0.60	2.6	70	83	10	826
2047	0	35	-0.60	3.1	100	76	10	827
2048	13	162	0.00	4.1	160	76	10	828
2049	180	200	1.10	4.1	170	73	7	828
2050	401	150	3.90	3.1	190	66	3	829
2051	644	106	8.90	3.6	170	42	1	828
2052	760	70	8.90	7.7	300	29	1	827
2053	742	80	10.00	6.2	350	25	2	827
2054	590	166	8.90	2.6	70	29	3	827
2055	569	78	11.10	5.2	220	23	2	826
2056	353	103	9.40	3.1	190	27	3	826
2057	173	62	8.90	2.6	180	22	2	827
2058	75	26	8.90	6.7	300	24	1	827
2059	1	1	6.70	6.2	270	26	0	828
2060	0	0	5.60	6.2	300	30	0	829
2061	0	0	3.90	4.1	310	34	1	830
2062	0	0	2.20	2.6	60	44	5	830
2063	0	0	3.30	2.1	270	35	2	830
2064	0	0	2.20	1.5	40	38	3	830
2065	0	0	0.60	2.6	150	52	0	830
2066	0	0	-0.60	2.1	230	73	0	829
2067	0	0	-1.10	2.6	180	72	0	829
2068	0	0	-1.10	3.1	170	60	0	829
2069	0	0	-1.10	4.1	200	57	0	829
2070	0	0	-2.20	3.1	200	65	0	829
2071	54	27	-0.60	3.1	180	54	0	830
2072	239	47	2.80	2.6	190	40	0	830
2073	433	65	6.10	2.1	360	26	0	830
2074	600	78	7.80	3.1	20	25	0	830
2075	722	87	8.30	3.6	10	25	0	830
2076	787	92	8.90	5.2	90	25	0	829
2077	791	92	10.00	5.2	40	20	0	829
2078	733	88	9.40	3.1	120	19	0	828
2079	618	80	10.60	3.6	110	18	0	828
2080	456	67	10.60	2.1	110	17	0	828
2081	265	49	10.00	3.6	70	18	0	828
2082	75	30	8.90	2.6	100	19	0	829
2083	1	1	6.70	2.6	150	29	1	829
2084	0	0	5.60	2.1	190	35	0	829
2085	0	0	7.20	6.2	260	26	0	829
2086	0	0	4.40	3.1	200	33	0	829
2087	0	0	3.30	2.6	190	39	0	829
2088	0	0	1.10	2.6	180	52	0	828
2089	0	0	1.10	3.1	190	50	0	828
2090	0	0	0.60	3.1	200	54	0	827
2091	0	0	1.10	2.1	190	48	4	827
2092	0	0	1.10	2.6	200	50	8	827
2093	0	0	1.70	2.6	170	50	7	826
2094	0	0	2.80	0	0	44	8	826
2095	9	42	2.80	2.6	180	42	9	826
2096	0	112	3.90	2.1	180	41	10	827
2097	0	186	5.60	2.6	170	35	10	826
2098	138	312	6.10	3.1	70	37	10	827
2099	0	231	4.40	7.2	10	58	10	828
2100	0	249	4.40	7.7	40	55	10	829
2101	0	175	1.10	8.2	360	88	10	830
2102	0	164	0.60	5.2	30	91	10	831
2103	0	202	2.20	5.7	30	81	10	831
2104	0	155	3.30	7.2	10	63	10	832
2105	12	148	2.20	8.2	10	62	10	833
2106	14	79	0.00	8.2	360	62	10	835
2107	0	2	-0.60	10.3	30	60	9	835
2108	0	0	-1.10	8.2	360	66	10	838
2109	0	0	-1.70	6.7	10	76	10	838
2110	0	0	-2.80	6.2	20	91	10	839
2111	0	0	-2.80	4.1	20	87	10	839
2112	0	0	-2.80	0	0	91	10	840
2113	0	0	-2.80	0	0	91	10	840
2114	0	0	-2.20	2.1	180	87	10	840
2115	0	0	-2.80	2.1	210	91	10	839
2116	0	0	-3.30	2.6	200	91	0	839
2117	0	0	-3.90	3.1	190	91	0	839
2118	1	0	-4.40	3.6	190	86	0	840
2119	74	22	-2.80	4.6	200	72	0	840
2120	268	37	-0.60	4.6	200	60	0	840
2121	464	51	1.70	4.6	190	53	0	840
2122	631	62	4.40	4.1	200	44	0	840
2123	752	69	7.80	1.5	230	29	0	840
2124	818	72	9.40	2.6	170	26	0	839
2125	821	73	11.10	2.1	260	21	0	839
2126	764	69	11.70	2.1	40	19	0	839
2127	648	63	12.20	3.6	60	20	0	839
2128	486	52	11.10	5.2	30	21	0	839
2129	291	39	11.10	3.1	70	20	0	840
2130	94	24	10.00	2.1	60	21	0	840
2131	3	1	8.30	1.5	60	28	0	840
2132	0	0	6.10	3.1	100	39	0	841
2133	0	0	4.40	2.6	150	48	0	842
2134	0	0	3.30	2.6	180	49	0	842
2135	0	0	2.80	3.6	190	54	0	843
2136	0	0	1.10	2.6	190	58	0	843
2137	0	0	0.60	2.1	170	60	0	843
2138	0	0	0.60	2.6	160	60	0	843
2139	0	0	1.10	4.6	180	58	0	842
2140	0	0	1.10	4.6	180	55	0	842
2141	0	0	0.60	3.1	190	57	0	842
2142	0	0	0.60	3.6	190	54	0	843
2143	42	40	3.30	5.2	200	41	0	843
2144	209	72	7.20	3.6	190	31	0	843
2145	394	99	10.60	3.1	150	25	0	843
2146	556	119	13.30	2.1	170	18	0	843
2147	675	132	15.60	3.1	160	15	0	843
2148	739	138	16.70	3.6	170	14	0	842
2149	741	139	17.80	2.1	150	13	0	842
2150	684	133	18.30	2.1	200	12	0	841
2151	570	121	19.40	1.5	80	12	0	840
2152	413	101	19.40	4.6	120	12	0	840
2153	229	75	18.30	4.1	120	13	0	840
2154	56	44	16.70	3.1	120	15	0	840
2155	0	2	14.40	4.6	150	19	1	840
2156	0	0	12.20	4.1	160	22	0	840
2157	0	0	10.60	7.2	180	27	1	841
2158	0	0	9.20	6.5	180	31	3	841
2159	0	0	7.70	5.7	170	33	5	840
2160	0	0	6.30	5	190	36	4	840
2161	0	0	4.90	4.3	340	64	9	814
2162	0	0	3.50	3.6	350	75	0	814
2163	0	0	2.00	2.8	350	81	0	813
2164	0	0	0.60	2.1	30	87	5	814
2165	0	0	0.00	3.1	30	87	10	819
2166	0	0	0.60	4.1	40	87	10	816
2167	0	24	2.00	3.6	10	80	10	818
2168	0	59	1.10	4.1	30	84	10	818
2169	0	87	1.70	4.6	30	81	10	819
2170	0	109	1.70	5.7	10	74	10	820
2171	0	174	1.70	5.7	20	77	10	823
2172	0	182	2.20	4.1	20	71	10	821
2173	0	143	2.20	3.6	360	71	10	822
2174	27	288	2.80	4.6	30	75	10	822
2175	0	120	2.80	3.6	20	75	10	823
2176	0	88	2.80	3.1	360	75	10	823
2177	0	51	1.70	2.6	350	81	10	824
2178	0	20	0.60	3.6	350	87	10	824
2179	0	0	-0.60	6.7	10	96	10	823
2180	0	0	-1.10	7.7	20	95	10	824
2181	0	0	-1.70	6.2	30	96	10	824
2182	0	0	-2.80	7.2	10	91	10	824
2183	0	0	-3.30	7.2	10	91	10	826
2184	0	0	-3.90	5.2	360	91	10	823
2185	0	0	-4.00	5.1	360	92	10	823
2186	0	0	-4.00	4.6	360	84	10	824
2187	0	0	-4.40	5.2	340	95	10	824
2188	0	0	-5.00	5.7	350	95	10	824
2189	0	0	-5.00	5.2	350	95	10	828
2190	0	0	-5.60	4.6	10	96	10	825
2191	0	46	-6.00	4.6	10	100	10	824
2192	0	81	-5.00	5.2	360	91	10	825
2193	0	107	-4.40	4.1	360	86	10	826
2194	0	134	-3.90	3.1	10	86	10	826
2195	0	149	-3.90	4.6	50	86	10	828
2196	0	213	-3.30	3.6	40	75	10	825
2197	0	179	-3.30	2.6	40	75	10	825
2198	0	152	-3.30	3.6	360	72	10	824
2199	0	120	-3.90	3.6	350	79	10	823
2200	0	88	-4.40	4.1	40	90	10	823
2201	0	56	-4.40	1.5	70	90	10	826
2202	0	20	-5.00	2.1	70	92	10	823
2203	0	0	-5.60	3.6	100	91	10	823
2204	0	0	-6.00	2.1	150	92	10	823
2205	0	0	-6.10	1.5	120	95	10	823
2206	0	0	-6.70	2.1	120	91	10	821
2207	0	0	-6.70	2.6	120	96	10	824
2208	0	0	-6.10	2.6	100	91	10	820
