#1
#Denver
# 39.883         -104.65          1650            1
#
# hy	G_Bh	G_Dh	Ta	FF	DD	RH	N	p
double tab1(8760,9)
141	0	0	-6.10	1.5	280	86	4	838
142	0	0	-7.80	2.6	270	91	8	837
143	0	0	-7.80	2.1	250	82	10	839
144	0	0	-8.90	3.1	250	86	10	837
145	0	0	-8.90	4.1	220	86	10	835
146	0	0	-8.30	2.6	260	86	10	835
147	0	0	-10.60	3.6	230	87	10	834
148	0	0	-12.20	1.5	260	91	10	834
149	0	0	-13.90	0	0	96	10	837
150	0	0	-12.80	3.1	280	86	10	834
151	0	0	-12.80	2.6	250	86	10	834
152	0	5	-2.80	3.6	240	42	10	834
153	0	38	-0.60	4.1	190	33	10	835
154	0	69	1.10	1.5	260	25	10	837
155	0	93	2.80	1.5	10	27	10	836
156	0	105	5.00	2.1	80	22	10	837
157	0	106	5.60	2.1	100	18	10	837
158	0	95	5.00	2.1	330	16	10	837
159	0	74	5.00	3.1	110	16	10	836
160	0	44	4.40	2.1	120	19	10	835
161	0	9	5.00	3.6	150	18	10	833
162	0	0	5.60	4.1	170	16	10	834
163	0	0	5.00	3.6	220	17	10	833
164	0	0	4.40	4.6	230	19	10	833
165	0	0	2.20	5.2	210	23	10	831
166	0	0	-0.60	3.6	220	38	7	830
167	0	0	0.00	4.6	230	37	6	832
168	0	0	1.70	3.6	270	29	10	830
169	0	0	1.70	4.1	270	28	10	830
170	0	0	1.10	4.6	320	31	10	829
171	0	0	-0.60	5.2	270	35	10	828
172	0	0	-1.70	9.8	280	40	10	828
173	0	0	-3.30	8.2	280	48	10	830
174	0	0	-3.30	5.2	290	44	10	828
175	0	0	-4.40	5.7	300	50	7	828
176	5	9	-2.80	3.1	270	42	3	827
177	104	28	2.20	6.7	280	30	1	829
178	247	43	5.00	5.2	260	27	1	830
179	248	111	7.20	7.2	270	24	2	828
180	336	89	7.80	7.2	290	21	3	829
181	373	84	10.60	7.7	280	22	1	827
182	397	42	10.60	5.2	280	19	0	826
183	294	35	7.80	5.2	290	23	0	825
184	154	26	6.70	2.6	300	25	0	824
185	17	12	4.40	3.6	290	31	2	822
186	0	0	0.60	3.6	240	41	5	822
187	0	0	-0.60	5.2	260	54	7	823
188	0	0	-1.70	6.2	270	59	8	823
189	0	0	-1.10	4.6	240	54	7	822
190	0	0	-2.20	5.7	260	59	8	821
191	0	0	-1.70	3.6	240	59	7	820
192	0	0	-2.80	5.7	220	62	9	821
193	0	0	-3.30	6.2	240	68	0	820
194	0	0	-3.30	5.7	250	65	2	820
195	0	0	-3.30	5.7	240	65	1	820
196	0	0	-3.30	5.7	240	65	2	820
197	0	0	-3.90	4.1	260	68	3	821
198	0	0	-3.30	5.2	220	59	0	821
199	0	0	-5.00	0	0	75	1	821
200	6	8	-1.10	2.6	130	49	1	822
201	98	38	0.60	2.6	140	43	0	823
202	234	53	2.80	4.6	110	35	0	825
